,PlayId,Team,X,Y,S,A,Dis,YardLine,Quarter,Down,Distance,DefendersInTheBox,Yards,PlayerHeight,PlayerWeight,Temperature
42,20190908001241,home,63.42,9.72,4.55,3.44,0.44,45,2,1,10,7.0,0,6-0,215,87.0
43,20171113002247,away,52.11,17.9,2.64,1.67,0.34,46,3,1,10,5.0,4,6-1,242,49.0
44,20191103010301,away,100.02,24.14,3.03,1.41,0.31,25,1,1,10,6.0,17,6-1,206,42.0
45,20191110101195,home,33.42,26.47,3.14,1.9,0.32,20,2,1,10,7.0,5,6-4,255,67.0
46,20191107002947,home,17.29,29.87,2.09,1.07,0.23,6,3,2,2,9.0,-4,6-3,340,54.0
47,20171001100463,away,45.72,21.56,2.9,3.96,0.4,25,1,1,10,8.0,-2,5-10,195,72.0
48,20171210061842,home,43.31,20.35,1.83,0.9,0.17,34,2,3,1,6.0,-3,6-3,270,46.0
49,20171225003508,away,75.28,39.77,3.99,3.26,0.5,34,4,2,6,7.0,7,6-2,210,51.0
50,20191013082938,away,65.74,31.32,5.56,1.71,0.55,47,3,1,10,7.0,2,6-1,195,77.0
51,20181216001150,away,11.16,24.56,1.56,2.13,0.14,12,2,1,10,8.0,3,6-1,205,
52,20171217052256,home,29.02,24.83,1.51,1.61,0.13,18,3,2,10,8.0,15,5-11,205,67.0
53,20171008022498,away,87.5,21.57,2.42,2.48,0.29,25,3,1,10,7.0,-4,6-3,270,68.0
54,20171001102476,home,58.47,23.03,1.72,0.66,0.36,48,3,2,10,6.0,1,6-5,315,72.0
55,20171119112937,home,35.17,31.67,3.33,1.28,0.34,27,3,2,8,6.0,-2,6-3,250,81.0
56,20181217000319,away,74.41,23.92,4.03,0.69,0.4,40,1,1,10,8.0,6,6-0,209,48.0
57,20171231031113,away,44.17,23.0,3.11,1.63,0.31,35,2,2,6,7.0,4,6-7,325,9.0
58,20171112033676,home,44.71,30.07,3.43,1.82,0.3,37,4,1,10,7.0,5,6-7,307,42.0
59,20171231000783,home,31.57,37.85,3.66,3.13,0.52,21,1,1,10,8.0,2,6-3,220,
60,20191124003996,home,76.63,24.04,2.86,2.02,0.28,43,4,1,10,8.0,-1,5-11,190,52.0
61,20180909060558,home,44.52,30.4,2.06,1.38,0.2,34,1,1,10,8.0,10,6-6,314,86.0
62,20191125003348,away,73.08,30.99,1.86,1.09,0.19,39,4,2,7,7.0,5,6-8,345,62.0
63,20181021024462,away,58.89,24.05,3.05,0.86,0.33,48,4,1,10,6.0,8,6-8,380,44.0
64,20171203110830,away,53.15,24.6,1.89,0.93,0.26,40,1,1,10,8.0,1,6-0,209,
65,20181014011792,away,15.25,29.54,3.98,3.09,0.39,1,2,1,1,10.0,1,6-1,233,51.0
66,20190922072117,away,44.03,24.93,1.38,0.59,0.17,34,3,3,1,8.0,2,6-4,310,84.0
67,20181216043654,away,15.58,26.99,2.16,0.88,0.21,5,4,2,5,9.0,1,6-3,261,43.0
68,20171008031432,home,81.32,32.32,4.77,1.01,0.51,29,2,2,10,6.0,-1,6-3,340,68.0
69,20191021000404,home,6.0,23.16,2.94,1.79,0.29,5,1,2,4,6.0,2,6-0,207,58.0
70,20181125052647,home,70.36,28.33,1.69,0.77,0.18,40,3,1,10,6.0,3,6-5,324,54.0
71,20181015002925,home,33.21,32.65,3.64,0.18,0.38,25,4,1,10,8.0,6,6-3,324,37.0
72,20191020030550,away,74.51,17.71,2.14,1.32,0.21,40,1,1,10,6.0,4,5-10,192,69.0
73,20191124030954,away,70.83,21.87,0.3,0.86,0.04,40,2,1,10,6.0,0,6-5,328,46.0
74,20171119073503,away,76.41,23.62,2.82,1.62,0.33,32,4,2,8,8.0,1,6-4,295,76.0
75,20191006080685,away,77.58,23.93,4.5,1.76,0.44,30,1,1,10,7.0,24,6-1,245,77.0
76,20181028091985,away,36.06,27.9,0.7,0.79,0.07,25,3,1,10,7.0,1,6-3,310,
77,20171029062222,home,91.16,38.06,1.56,0.19,0.31,15,3,2,10,7.0,-3,6-0,191,67.0
78,20191110001996,home,70.96,24.73,4.79,2.11,0.46,40,2,2,1,6.0,8,6-6,325,40.0
79,20171001110220,home,13.21,29.75,0.76,0.34,0.1,3,1,1,10,7.0,3,6-1,236,91.0
80,20190929110705,home,33.91,32.8,2.16,1.76,0.21,26,1,1,10,6.0,4,6-5,300,87.0
81,20171210120905,away,30.78,14.05,1.01,0.39,0.38,22,2,2,19,7.0,5,5-10,195,39.0
82,20170910072739,away,57.68,23.48,3.06,1.71,0.48,47,4,1,10,7.0,4,6-1,215,72.0
83,20170924014156,away,28.12,25.0,3.54,0.43,0.46,17,4,2,7,8.0,5,6-1,230,83.0
84,20170924100270,away,61.52,19.67,3.15,3.09,0.32,34,1,2,7,8.0,2,5-10,202,88.0
85,20171022083547,home,47.76,24.96,3.56,0.07,0.36,32,4,1,10,8.0,10,6-5,240,79.0
86,20191110040959,home,41.77,28.68,2.57,1.65,0.25,32,2,3,3,5.0,2,5-11,208,67.0
87,20171217023943,home,43.92,21.81,0.75,2.09,0.05,32,4,1,10,8.0,16,6-1,245,36.0
88,20190915013867,away,51.92,32.53,4.05,1.61,0.41,40,4,2,7,6.0,0,6-3,280,81.0
89,20171231001666,home,93.13,22.83,3.66,1.68,0.45,19,2,2,1,8.0,0,6-1,230,
90,20190908061238,away,69.39,40.17,2.02,2.66,0.19,34,2,3,1,7.0,-2,6-0,200,79.0
91,20190915063463,home,12.58,28.58,0.87,1.42,0.09,3,4,1,3,9.0,0,6-2,236,79.0
92,20171203123093,home,55.7,23.98,3.7,1.65,0.37,49,4,1,10,8.0,-2,6-3,210,58.0
93,20171203042539,away,31.09,23.67,1.2,1.43,0.03,17,3,1,10,6.0,3,6-4,231,42.0
94,20181021051758,home,44.65,29.96,1.62,1.66,0.16,40,2,2,6,6.0,0,6-3,230,59.0
95,20181111072136,home,81.72,24.3,2.55,0.89,0.23,28,3,3,1,11.0,1,6-1,233,82.0
96,20181007071720,away,99.71,29.59,5.12,2.56,0.51,11,2,1,10,6.0,-1,6-4,254,83.0
97,20191117060474,away,69.07,27.8,3.52,2.36,0.35,41,1,1,10,6.0,7,6-5,250,55.0
98,20171112013370,away,54.71,26.86,3.75,0.38,0.43,45,4,1,10,6.0,0,6-3,217,39.0
99,20170917114062,away,94.45,36.22,0.73,0.5,0.14,14,4,3,5,9.0,0,6-3,248,76.0
100,20181007123270,away,75.59,22.96,2.8,1.08,0.31,33,4,2,1,7.0,5,6-6,270,83.0
101,20181230144276,home,60.22,28.11,3.19,1.77,0.32,45,4,1,10,8.0,-1,5-10,205,65.0
102,20171112062427,away,83.31,35.41,3.52,2.01,0.41,26,3,1,10,7.0,4,6-0,195,53.0
103,20171015051170,away,48.38,24.97,1.72,1.87,0.32,38,2,1,10,6.0,7,6-4,245,73.0
104,20191117060216,home,41.3,30.78,0.88,2.33,0.09,30,1,1,10,7.0,2,6-6,281,55.0
105,20191124111177,home,34.14,43.84,2.62,1.66,0.26,17,2,1,10,7.0,3,5-11,193,40.0
106,20181209082894,home,51.8,24.45,3.03,0.74,0.3,42,3,1,10,6.0,0,6-5,320,33.0
107,20180923123111,away,10.26,10.89,1.32,1.76,0.13,8,4,1,8,7.0,3,6-1,205,61.0
108,20181111100136,home,56.13,44.51,2.18,2.33,0.22,37,1,2,10,7.0,2,5-11,184,75.0
109,20190908123645,away,35.71,45.19,4.45,4.61,0.43,25,4,1,10,5.0,0,6-2,215,66.0
110,20191125000869,away,55.48,26.99,2.09,1.03,0.2,42,2,1,10,6.0,15,6-1,235,62.0
111,20181223062978,home,32.84,33.87,1.6,2.12,0.2,23,3,2,12,6.0,0,6-5,242,
112,20191117020626,home,65.9,27.29,4.62,2.15,0.45,46,1,2,3,8.0,3,6-1,245,68.0
113,20171029043571,home,109.24,30.13,0.97,0.49,0.15,1,4,1,1,9.0,1,6-4,261,54.0
114,20181209043114,away,64.47,30.2,2.93,2.62,0.31,45,3,2,2,7.0,7,6-7,307,46.0
115,20180909002871,home,11.09,29.8,1.7,1.36,0.19,1,3,1,1,11.0,1,6-6,305,61.0
116,20190908023314,away,62.7,26.01,1.28,0.47,0.14,46,4,1,10,6.0,0,6-5,320,91.0
117,20181230104030,home,51.41,28.8,1.42,1.95,0.13,45,4,1,10,6.0,9,6-1,233,80.0
118,20180930081665,home,34.05,23.71,3.28,1.17,0.33,23,2,2,4,8.0,-1,6-5,307,
119,20181118024118,home,44.9,32.52,0.86,3.21,0.1,34,4,2,8,6.0,4,5-11,199,33.0
120,20181223062147,home,9.51,11.41,0.89,1.82,0.07,2,2,2,2,7.0,2,6-1,205,
121,20191007002542,away,67.54,15.83,4.93,1.91,0.48,43,3,1,10,7.0,2,5-11,198,87.0
122,20181015002827,away,45.12,20.16,5.97,1.5,0.59,30,4,1,10,7.0,1,5-11,190,37.0
123,20181111100777,home,86.76,33.05,5.11,2.11,0.5,30,1,2,5,6.0,9,6-1,224,75.0
124,20171119030781,home,52.07,26.96,1.34,1.01,0.19,43,1,2,3,7.0,2,6-5,305,60.0
125,20171224104135,home,48.41,10.53,4.83,2.14,0.52,36,4,2,10,8.0,3,5-11,179,71.0
126,20191024003052,away,51.3,20.48,3.57,0.56,0.35,42,4,1,10,8.0,6,6-3,320,
127,20191103010115,away,83.55,23.87,0.77,0.93,0.08,27,1,2,8,8.0,3,6-4,312,42.0
128,20181021012919,away,12.87,22.24,0.51,0.76,0.07,2,4,3,2,7.0,2,6-4,300,54.0
129,20190915043493,home,78.01,27.24,1.77,1.11,0.18,32,4,1,10,6.0,4,6-3,347,89.0
130,20191017002961,home,67.13,9.27,1.9,3.3,0.18,42,3,2,3,4.0,2,5-11,200,75.0
131,20181011004019,away,91.74,26.09,0.99,0.89,0.1,19,4,2,7,7.0,2,6-3,305,70.0
132,20181118001182,home,77.54,42.17,4.0,2.25,0.41,36,2,2,12,7.0,5,6-3,220,59.0
133,20171223012616,home,109.01,17.04,0.7,1.07,0.05,2,3,3,2,7.0,0,5-11,195,10.0
134,20171214003613,home,91.53,20.46,2.8,2.9,0.38,22,4,2,8,5.0,0,5-9,190,25.0
135,20171015080380,home,81.22,21.44,0.6,1.75,0.05,42,1,2,7,8.0,5,6-2,218,88.0
136,20171119064066,away,75.31,24.03,1.31,1.25,0.08,35,5,1,10,7.0,0,6-7,315,50.0
137,20170924021542,home,108.79,31.34,2.77,3.72,0.26,3,2,1,3,9.0,-5,6-1,235,82.0
138,20180909050538,away,101.16,15.89,4.05,0.11,0.41,9,1,2,10,6.0,31,6-7,325,62.0
139,20170910023201,home,34.51,25.55,0.94,4.33,0.18,8,4,1,10,6.0,4,6-4,227,68.0
140,20181125053279,home,90.77,32.06,3.69,0.89,0.37,20,4,1,10,7.0,33,6-3,259,54.0
141,20171102000376,home,23.58,43.87,2.51,0.96,0.31,15,1,1,10,6.0,5,6-1,209,68.0
142,20191110041066,away,31.0,21.89,7.14,2.24,0.72,19,2,1,10,8.0,3,6-3,220,67.0
143,20191006051903,home,83.16,40.0,5.33,0.86,0.53,25,3,1,10,6.0,6,5-10,185,59.0
144,20191013012652,home,77.38,15.72,2.64,3.94,0.25,31,3,1,10,7.0,0,6-0,210,64.0
145,20171001082469,home,16.89,25.51,0.99,0.83,0.08,8,3,1,10,8.0,12,6-5,262,64.0
146,20181223081043,home,76.4,24.95,3.65,3.48,0.37,33,1,1,10,8.0,-2,5-10,200,40.0
147,20171001092784,home,44.02,25.25,0.04,0.03,0.01,33,3,3,1,8.0,2,6-3,321,
148,20180930022496,away,22.38,39.41,2.84,1.25,0.28,14,3,2,1,7.0,2,6-0,190,
149,20181125034127,away,50.0,31.69,4.18,2.35,0.41,45,4,2,5,8.0,0,5-11,225,44.0
150,20181007120266,away,81.08,22.21,1.67,1.83,0.16,25,1,1,10,7.0,3,6-1,212,83.0
151,20191117111375,away,80.25,30.29,4.07,0.77,0.4,34,2,2,5,7.0,3,6-2,215,79.0
152,20170911003863,home,61.36,22.33,3.3,2.93,0.37,48,4,1,10,9.0,2,6-4,265,70.0
153,20181118103997,away,75.62,38.38,3.13,3.91,0.3,30,4,3,5,6.0,1,6-1,217,73.0
154,20181118071267,away,60.06,11.93,3.84,3.89,0.36,50,2,1,10,6.0,11,6-3,210,72.0
155,20181125080664,away,93.53,18.31,2.75,0.56,0.28,31,1,1,10,6.0,4,6-1,205,74.0
156,20181203001011,home,35.04,27.85,2.86,1.63,0.29,25,2,2,10,7.0,4,6-0,198,36.0
157,20180909062165,away,95.55,23.75,2.31,0.95,0.26,15,2,1,20,6.0,3,6-2,308,86.0
158,20171217041498,home,36.78,44.05,1.98,1.41,0.44,25,2,1,10,7.0,2,6-1,218,
159,20181021072954,away,73.88,32.34,5.49,3.95,0.54,35,3,2,10,8.0,-2,6-5,255,46.0
160,20181202033504,home,90.25,14.68,2.77,2.04,0.26,22,4,1,10,7.0,21,6-4,310,34.0
161,20190922001786,home,103.1,18.83,1.88,1.52,0.19,8,2,2,13,6.0,3,6-3,267,83.0
162,20190929002195,home,87.38,18.11,4.61,2.4,0.46,22,2,1,10,6.0,3,5-9,186,
163,20170917052806,away,47.15,11.02,2.21,0.79,0.3,38,3,1,10,8.0,5,5-10,183,85.0
164,20171112093747,away,86.12,28.47,1.12,2.31,0.05,25,4,3,8,7.0,1,6-1,205,
165,20170924002418,away,61.73,29.34,3.42,3.17,0.37,40,3,1,10,7.0,0,5-11,195,70.0
166,20171203082566,away,79.82,26.02,3.72,1.33,0.45,31,3,2,12,7.0,1,6-2,252,48.0
167,20181115001638,away,93.24,28.22,5.06,0.79,0.5,21,2,1,10,6.0,3,6-2,225,54.0
168,20171105052981,away,97.85,19.33,1.73,0.94,0.19,11,3,1,10,7.0,5,6-2,250,61.0
169,20181216090937,home,68.59,34.3,1.66,1.7,0.16,43,1,1,10,6.0,0,5-9,188,61.0
170,20171112044086,home,28.92,43.73,4.05,2.09,0.43,10,4,1,10,9.0,3,6-0,191,76.0
171,20180923053950,away,71.47,30.21,1.76,0.42,0.18,39,4,1,10,7.0,4,6-3,312,70.0
172,20171203031358,away,104.23,27.49,4.06,2.43,0.41,10,2,1,8,7.0,6,6-2,225,54.0
173,20191027073422,home,39.68,43.17,3.97,3.09,0.38,29,4,1,10,8.0,-1,5-11,180,65.0
174,20170924002350,home,20.78,27.85,4.1,3.07,0.45,15,3,1,20,6.0,2,5-11,203,70.0
175,20191006072267,away,80.49,28.66,1.73,0.87,0.18,30,3,1,5,6.0,4,6-8,345,70.0
176,20181126001200,home,107.29,30.13,0.92,0.99,0.09,3,2,4,1,9.0,0,6-3,347,51.0
177,20190922022920,away,45.03,21.88,3.3,2.75,0.33,33,3,2,5,6.0,6,6-1,230,69.0
178,20171126101822,home,49.93,45.55,2.54,2.42,0.56,40,2,1,10,6.0,0,6-3,190,61.0
179,20191124053228,home,66.11,28.34,1.59,1.22,0.16,44,3,1,10,9.0,1,6-5,311,52.0
180,20190922023644,away,53.02,34.13,2.11,3.44,0.21,43,4,1,10,7.0,12,6-3,250,69.0
181,20181014051203,home,6.4,24.99,4.21,2.96,0.41,2,2,2,9,7.0,2,6-3,230,
182,20191013012393,home,64.35,44.16,4.98,1.31,0.49,48,3,1,10,8.0,2,6-4,220,64.0
183,20181118001249,home,97.38,20.73,1.77,2.03,0.17,10,2,1,10,8.0,5,6-3,232,59.0
184,20191021002300,home,67.13,28.97,4.79,1.6,0.47,47,3,1,10,7.0,-2,6-1,225,58.0
185,20171029010930,home,57.67,28.3,1.53,0.99,0.21,48,1,2,20,6.0,10,6-4,295,42.0
186,20171217040094,home,53.57,12.04,3.18,2.74,0.45,44,1,1,10,7.0,3,6-0,191,
187,20171105030379,home,69.88,20.93,0.72,2.63,0.13,25,1,1,10,7.0,2,6-1,195,79.0
188,20170924030081,home,33.77,20.13,1.34,1.14,0.18,25,1,2,10,7.0,3,6-5,240,89.0
189,20171001133786,home,25.62,22.81,1.92,0.67,0.17,16,4,1,10,7.0,11,6-5,325,61.0
190,20171210003062,away,52.09,33.33,3.16,0.39,0.37,40,4,1,10,7.0,2,6-6,262,32.0
191,20171223000205,away,73.11,14.9,3.42,1.54,0.43,36,1,2,6,8.0,8,6-5,235,63.0
192,20180909090204,home,46.03,24.53,0.74,1.64,0.05,35,1,1,15,7.0,1,6-4,314,
193,20180909110366,away,27.07,27.1,1.98,2.6,0.17,19,1,2,1,7.0,5,6-3,306,84.0
194,20170917102581,home,14.71,35.72,2.32,1.6,0.5,3,3,2,3,6.0,1,6-3,215,72.0
195,20181028102028,home,104.5,30.66,5.05,6.55,0.47,1,2,2,1,8.0,0,6-1,224,82.0
196,20171008043755,home,35.06,38.64,3.82,3.64,0.53,25,4,3,7,6.0,8,6-1,202,89.0
197,20181202082679,home,78.02,19.94,3.59,2.68,0.36,30,3,2,9,4.0,5,6-3,255,57.0
198,20181118062629,away,26.83,35.06,0.88,0.54,0.09,25,3,1,10,6.0,1,5-11,185,48.0
199,20171001043049,away,19.69,21.79,3.09,1.59,0.33,11,3,2,11,7.0,0,6-6,257,
200,20180923060449,home,12.04,8.83,1.0,1.17,0.1,8,1,1,8,7.0,-1,6-1,198,90.0
201,20170924090969,away,38.75,23.24,2.81,1.64,0.28,28,2,1,10,6.0,-1,6-3,314,89.0
202,20181021031546,away,38.01,26.68,5.41,3.68,0.54,26,2,1,10,8.0,-2,6-0,191,44.0
203,20180910011259,away,86.29,18.8,1.56,0.1,0.17,22,2,1,10,6.0,2,6-8,328,69.0
204,20171217084141,away,87.89,33.03,3.49,0.79,0.31,23,4,1,10,7.0,-4,6-3,300,47.0
205,20190922133243,away,67.16,28.2,1.66,3.14,0.18,41,4,1,10,5.0,1,6-3,255,83.0
206,20181028013657,home,44.01,30.47,4.0,2.23,0.4,29,4,2,9,8.0,3,5-11,205,61.0
207,20171005001936,home,83.03,24.88,0.46,0.57,0.08,27,2,1,10,6.0,4,6-3,275,76.0
208,20171008102365,home,54.83,27.33,1.15,1.15,0.45,45,3,2,4,6.0,3,6-2,308,
209,20191006010277,home,32.57,30.67,3.24,0.95,0.32,22,1,1,10,7.0,9,6-5,310,76.0
210,20170925000670,away,45.22,26.2,2.83,2.44,0.23,33,1,1,10,7.0,-4,6-2,308,
211,20181215010668,home,63.58,27.78,4.22,1.49,0.42,45,1,2,3,6.0,-7,6-6,329,46.0
212,20191020070641,home,63.11,34.47,3.55,0.39,0.36,46,1,1,10,6.0,1,6-3,310,55.0
213,20170921002425,away,94.36,22.97,2.92,1.31,0.42,14,3,1,10,8.0,1,6-0,193,68.0
214,20171203094162,home,28.71,22.64,3.29,0.84,0.4,20,4,1,10,9.0,3,6-5,255,60.0
215,20171210000147,home,63.5,45.73,4.06,1.14,0.45,44,1,2,11,7.0,4,6-0,204,32.0
216,20181203000293,away,22.82,34.01,2.34,2.45,0.23,13,1,2,2,7.0,1,6-3,341,36.0
217,20190919000260,home,34.26,30.84,6.3,1.16,0.63,25,1,1,10,6.0,2,6-5,262,73.0
218,20181230144276,away,55.33,27.11,1.0,2.45,0.11,45,4,1,10,8.0,-1,6-3,236,65.0
219,20170914001426,home,85.46,33.24,3.63,1.48,0.35,26,2,2,4,7.0,3,6-1,328,69.0
220,20171217112081,away,60.61,30.7,2.62,1.68,0.37,32,3,1,10,7.0,-2,6-1,205,57.0
221,20171126010727,away,75.37,25.39,1.62,0.72,0.25,33,1,1,10,7.0,13,6-6,315,46.0
222,20171112011386,away,29.29,33.41,0.62,1.13,0.13,20,2,1,10,6.0,7,6-4,310,39.0
223,20171231113199,away,39.35,29.27,2.17,1.42,0.19,30,4,1,10,7.0,4,6-5,290,23.0
224,20181007123547,away,37.8,26.36,3.41,2.73,0.34,25,4,1,10,7.0,-7,6-2,245,83.0
225,20191013093523,away,55.06,27.15,1.46,2.81,0.16,45,4,1,10,7.0,30,6-4,314,69.0
226,20180916032180,away,52.21,43.7,3.29,1.81,0.32,42,3,1,10,6.0,2,6-1,198,90.0
227,20171026000842,home,51.27,20.68,2.17,2.15,0.27,37,1,2,14,6.0,5,5-10,185,56.0
228,20191013011400,home,85.8,28.17,0.59,1.17,0.06,25,2,3,3,6.0,25,6-8,345,64.0
229,20181202120312,home,10.74,27.56,1.66,1.64,0.2,1,1,1,1,10.0,0,6-6,315,53.0
230,20191027111093,away,52.93,29.72,5.1,0.66,0.51,48,1,1,10,6.0,12,6-1,215,49.0
231,20180930002310,away,23.95,30.19,2.48,2.8,0.28,13,3,1,13,8.0,9,6-1,328,
232,20190908123835,away,82.82,8.98,3.81,1.65,0.37,20,4,1,10,7.0,0,5-11,194,66.0
233,20191117012410,home,50.15,25.53,3.38,0.16,0.35,40,3,1,10,7.0,6,6-3,305,51.0
234,20181230021897,home,98.4,28.32,1.28,1.26,0.13,13,2,1,13,7.0,13,6-2,237,26.0
235,20191006062221,home,32.75,31.29,3.45,0.59,0.35,25,3,1,10,7.0,5,6-5,335,68.0
236,20171015011003,home,98.39,23.07,0.5,1.26,0.03,12,2,1,10,7.0,3,6-3,261,69.0
237,20171231080398,home,68.54,25.15,1.88,1.84,0.17,42,1,2,10,7.0,-2,6-5,335,19.0
238,20181021112351,home,64.2,36.12,4.19,1.23,0.41,48,3,1,10,6.0,9,6-3,195,62.0
239,20191117080171,home,53.37,17.0,0.81,0.97,0.08,47,1,2,10,6.0,3,5-11,184,72.0
240,20181230020398,home,8.3,23.45,4.71,2.7,0.46,3,1,1,13,7.0,3,6-0,213,26.0
241,20171105050499,home,66.44,23.91,4.68,3.11,0.54,42,1,2,6,7.0,5,6-2,238,61.0
242,20171015100474,away,38.24,25.8,4.14,1.83,0.43,31,1,2,3,8.0,-3,6-0,235,76.0
243,20171001082202,away,57.29,26.15,4.07,2.6,0.41,48,3,3,1,9.0,-4,6-6,320,64.0
244,20171112002421,away,51.36,39.07,1.77,0.75,0.21,42,3,1,10,7.0,2,6-3,212,42.0
245,20170924023161,away,82.3,23.4,2.66,0.31,0.26,25,4,1,10,7.0,25,6-6,314,82.0
246,20171217051701,away,67.63,37.08,1.27,1.98,0.23,46,2,2,13,6.0,5,6-0,207,67.0
247,20171231063654,away,53.55,23.94,1.15,0.54,0.14,44,4,2,8,8.0,5,6-5,302,13.0
248,20180923023549,away,52.11,35.07,0.65,0.85,0.06,47,4,2,7,7.0,10,6-2,190,80.0
249,20181230120825,home,90.31,28.72,3.18,0.95,0.32,21,1,1,10,7.0,0,6-1,250,46.0
250,20170924092824,away,37.36,27.86,1.18,0.77,0.16,28,3,2,1,6.0,7,6-2,315,89.0
251,20190908080290,home,25.42,23.1,4.49,3.8,0.43,20,1,1,10,6.0,1,5-11,222,64.0
252,20181014121644,home,105.46,21.55,5.42,2.17,0.53,1,2,3,1,9.0,1,5-11,215,45.0
253,20170910122637,away,56.8,35.56,4.08,2.31,0.43,47,3,2,12,6.0,4,6-2,205,
254,20180916062740,home,79.11,22.27,3.28,0.49,0.33,30,3,1,10,7.0,0,6-5,305,91.0
255,20171224023236,home,42.66,30.72,1.58,0.61,0.18,33,4,2,2,6.0,1,6-7,280,35.0
256,20171016003446,away,60.69,29.15,3.28,2.55,0.46,46,4,1,10,7.0,1,5-10,216,57.0
